"Timestamp","Вы занимались сексом в последние 5 лет?","Занимались ли Вы сексом без презерватива (хотя бы единожды) за последние 5 лет?","С каким количеством партнеров вы были сексуально активны за последние 5 лет?","Какое сексуальное поведение у Вас было в последние 5 лет? (Выберите все подходящие ответы)","В последние 5 лет был ли у Вас хоть единожды секс после: (Выберите все подходящие ответы)","Как Вы думаете, относится ли тема безопасного секса ко всем?","Проверялись ли Вы на ЗППП (заболевания, передающиеся половым путем) за последние 5 лет? (сифилис, хламидиоз, гонорея, генитальный герпес, гепатит, ВПЧ)","За последние 5 лет проходили ли вы тестирование на ВИЧ?","Откуда Ваши знания о сексуальном поведении и практиках? (Выберите все подходящие ответы)","Что для вас означает термин «безопасный секс»? (Выберите все подходящие ответы)","Ваш пол/гендер:","Какое у Вас образование?","Ваш возраст:","Ваше место жительства:","Каков Ваш род занятий?","Какая Ваша сексуальная ориентация?","Каков текущий статус Ваших отношений?","Описывая Ваши отношения за последние 5 лет (включая текущие), они были:"
"2019/05/09 9:14:06 pm CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;марихуаны","Да","Да, два или три раза","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Порнография (фильмы, журналы);Интернет;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;использование презервативов","Женщина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","Одинок/а","преимущественно закрытыми"
"2019/05/10 10:15:33 am CET","Да","Да","6-10","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Бакалавр","34-41","город с населением в 1 миллион человек и выше","работодатель","Гомосексуал","В однополом браке","преимущественно открытыми"
"2019/05/11 11:27:27 am CET","Да","Нет","20-50","Оральный секс;Мастурбация;Анилингус / rimming;Cсание;Anal","алкоголя;наркотиков (Амфетамин (Speed), метамфетамин (Tina), МДМА (экстази), МДA, ГБЛ/ГXБ (Г), Кокаин, мефедрон, кетамин);попперса;Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом партнерстве","преимущественно закрытыми"
"2019/05/19 4:41:03 pm CET","Да","Да","20-50","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Анилингус / rimming","алкоголя;наркотиков (Амфетамин (Speed), метамфетамин (Tina), МДМА (экстази), МДA, ГБЛ/ГXБ (Г), Кокаин, мефедрон, кетамин);марихуаны;попперса;Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Интернет","регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","фрилансер - свободная профессия","Гомосексуал","Одинок/а","только открытыми"
"2019/06/09 3:49:15 pm CET","Да","Да","1","Вагинальный секс","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Родители, семья, братья и сёстры;Интернет;Друзья, сотрудники","установление сознательных сексуальных контактов;личная гигиена до и после полового акта;использование презервативов","Женщина","Магистр","18-25","город с населением от 250 до 500 тысяч человек","фрилансер - свободная профессия","Гетеросексуал","В браке","только закрытыми"
"2019/06/12 4:36:00 pm CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг","алкоголя","Да","Да, два или три раза","Да, однажды","Порнография (фильмы, журналы);Интернет;Книги и научные публикации","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;разговор с сексуальным партнером до и/или после полового акта;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов","Мужчина","Бакалавр","26-33","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","В партнерстве","сложно сказать"
"2019/06/16 12:46:13 pm CET","Да","Да","2-5","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг;Анилингус / rimming","ничего из вышеперечисленного","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Родители, семья, братья и сёстры;Порнография (фильмы, журналы);Интернет;Книги и научные публикации;Врач, медсестра, акушерка","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;использование презервативов","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Бисексуал","В однополом партнерстве","только закрытыми"
"2019/06/19 4:33:33 am CET","Да","Да","11-20","Анальный секс","ничего из вышеперечисленного","Да;Нет (Почему? К кому эта тема не относится?)","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Профессионально-техническое образование","18-25","город с населением от 50 до 100 тысяч человек","студент","Гомосексуал","Одинок/а","сложно сказать"
"2019/06/22 12:17:04 pm CET","Да","Да","1","Анальный секс;Оральный секс;Фистинг","попперса;Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Порнография (фильмы, журналы);Интернет","использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Магистр","42-49","город с населением от 250 до 500 тысяч человек","работник","Гомосексуал","В однополом партнерстве","только закрытыми"
"2019/07/02 6:42:20 am CET","Да","Нет","2-5","Анальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет","регулярные анализы на ЗППП;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","только закрытыми"
"2019/07/17 11:02:23 am CET","Да","Да","2-5","Анальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Нет (Почему? К кому эта тема не относится?)","Да, я делаю это, по крайней мере, один раз в год.","Да, однажды","Порнография (фильмы, журналы);Интернет","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;секс с одним постоянным партнером;анальный и/или оральный секс","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В гомосексуальных отношениях","только закрытыми"
"2019/07/17 11:03:47 am CET","Да","Да","2-5","Анальный секс;Оральный секс;Мастурбация","алкоголя;Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет;Врач, медсестра, акушерка","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ;секс с одним постоянным партнером","Мужчина","Профессионально-техническое образование","18-25","город с населением от 500 000 до 1 миллиона человек","работник","Гомосексуал","В гомосексуальных отношениях","преимущественно открытыми"
"2019/07/17 11:04:05 am CET","Да","Да","6-10","Анальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Интернет;Друзья, сотрудники","регулярные анализы на ЗППП;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ;секс с одним постоянным партнером","Мужчина","Магистр","34-41","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","сложно сказать"
"2019/07/17 11:08:45 am CET","Да","Да","1","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Мужчина","Доктор наук или выше","34-41","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом партнерстве","только закрытыми"
"2019/07/17 11:09:05 am CET","Да","Я не помню","20-50","Анальный секс;Оральный секс;Мастурбация","Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Да","Да, однажды","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;использование ПКП (немедленная постконтактная профилактика) -;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ;секс с одним постоянным партнером;анальный и/или оральный секс;использование противозачаточных средств","Мужчина","Магистр","34-41","город с населением от 500 000 до 1 миллиона человек","фрилансер - свободная профессия","Гомосексуал","Одинок/а","преимущественно закрытыми"
"2019/07/17 11:10:48 am CET","Да","Да","1","Анальный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Да, однажды","Да, однажды","Интернет","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование лубриканта;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Профессионально-техническое образование","18-25","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","преимущественно закрытыми"
"2019/07/17 11:14:38 am CET","Да","Да","больше 100","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг;Анилингус / rimming;Cсание","алкоголя;наркотиков (Амфетамин (Speed), метамфетамин (Tina), МДМА (экстази), МДA, ГБЛ/ГXБ (Г), Кокаин, мефедрон, кетамин);опиоидов и/или барбитуратов;попперса;Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Нет (Почему? К кому эта тема не относится?)","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;использование лубриканта;использование ПКП (немедленная постконтактная профилактика) -;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;использование противозачаточных средств","Мужчина","Профессионально-техническое образование","42-49","город с населением от 50 до 100 тысяч человек","пенсионер","Гомосексуал","В гомосексуальных отношениях","только открытыми"
"2019/07/17 11:14:55 am CET","Да","Да","11-20","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг;Анилингус / rimming","попперса","Да","Да, однажды","Да, однажды","Порнография (фильмы, журналы);Интернет","использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ","Мужчина","Бакалавр","18-25","город с населением в 1 миллион человек и выше","студент","Гомосексуал","В гомосексуальных отношениях","преимущественно открытыми"
"2019/07/17 11:14:57 am CET","Да","Нет","6-10","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Да, однажды","Да, однажды","Школа, учеба, половое образование;Родители, семья, братья и сёстры;Порнография (фильмы, журналы);Интернет","Информирование сексуального партнера о возможном заражении венерическим заболеванием;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;прерывание полового акта - метод контрацепции, заключающийся в преднамеренном быстром выводе полового члена из влагалища незадолго до приближающейся эякуляции спермы;анальный и/или оральный секс","Мужчина","Доктор наук или выше","34-41","город с населением в 1 миллион человек и выше","фрилансер - свободная профессия","Гомосексуал","Одинок/а","только закрытыми"
"2019/07/17 11:16:02 am CET","Да","Нет","6-10","Анальный секс;Оральный секс;Мастурбация;Анилингус / rimming","ничего из вышеперечисленного","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Волонтёрская группа","Информирование сексуального партнера о возможном заражении венерическим заболеванием;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ;секс с одним постоянным партнером","Мужчина","Профессионально-техническое образование","18-25","город с населением от 100 до 250 тысяч человек","работник","Гомосексуал","Одинок/а","только закрытыми"
"2019/07/17 11:19:26 am CET","Да","Нет","20-50","Анальный секс;Оральный секс;Мастурбация","алкоголя;попперса;Силденафил / Тадафил / Варденафил (Виагра / Камагра / Сиалис / Левитра)","Да","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Порнография (фильмы, журналы);Интернет","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;регулярные проверки на ВИЧ и гепатит В;секс с одним постоянным партнером;анальный и/или оральный секс;секс, который не приводит к эякуляции","Мужчина","Средняя школа","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","только закрытыми"
"2019/07/17 11:22:37 am CET","Да","Да","2-5","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Анилингус / rimming","алкоголя","Да","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Да, однажды","Порнография (фильмы, журналы);Интернет","использование дезинфицирующих средств для кожи и слизистых оболочек;использование лубриканта;регулярные анализы на ЗППП;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ;использование противозачаточных средств","Мужчина","Магистр","34-41","посёлок","работник","Гомосексуал","В браке","только закрытыми"
"2019/07/17 11:26:14 am CET","Да","Да","6-10","Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Школа, учеба, половое образование;курс сексологии, психологии сексуального поведения.","использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Доктор наук или выше","26-33","город с населением в 1 миллион человек и выше","фрилансер - свободная профессия","Гомосексуал","В гомосексуальных отношениях","преимущественно открытыми"
"2019/07/17 11:26:54 am CET","Да","Да","20-50","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Cсание","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Средняя школа","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","сложно сказать"
"2019/07/17 11:29:13 am CET","Да","Да","2-5","Анальный секс;Оральный секс","алкоголя","Да","Да, два или три раза","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","Информирование сексуального партнера о возможном заражении венерическим заболеванием;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ","Мужчина","Магистр","26-33","город с населением от 100 до 250 тысяч человек","работник","Гомосексуал","В однополом партнерстве","только закрытыми"
"2019/07/17 11:29:44 am CET","Да","Да","11-20","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","использование дезинфицирующих средств для кожи и слизистых оболочек;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика) -;использование АРТ (антиретровирусной терапии) - эффективная антиретровирусная терапия ВИЧ-положительного пациента;использование презервативов;использование PrEP (пред-контактная профилактика) - принимать антиретровирусные препараты регулярно или временно до и после секса, чтобы предотвратить потенциальную инфекцию ВИЧ","Мужчина","Профессионально-техническое образование","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","сложно сказать"
"2019/07/17 11:30:21 am CET","Да","Да","6-10","Анальный секс;Оральный секс","ничего из вышеперечисленного","Да","Да, два или три раза","Да, два или три раза","Школа, учеба, половое образование;Интернет;Друзья, сотрудники;Книги и научные публикации;Врач, медсестра, акушерка","регулярные анализы на ЗППП;использование презервативов;анальный и/или оральный секс","Мужчина","Средняя школа","18-25","город с населением от 250 до 500 тысяч человек","работник","Гомосексуал","В гомосексуальных отношениях","сложно сказать"
"2019/07/17 11:31:01 am CET","Да","Нет","2-5","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Нет, потому что я всегда пользуюсь презервативом","Нет, потому что я всегда пользуюсь презервативом","Интернет","установление сознательных сексуальных контактов;регулярные анализы на ЗППП;использование презервативов","Мужчина","Бакалавр","18-25","посёлок","работник","Гомосексуал","Одинок/а","сложно сказать"
